205.210.31.248 - - [24/Oct/2023:21:42:59 +0000] "GET / HTTP/1.0" 200 77
205.210.31.150 - - [24/Oct/2023:22:14:06 +0000] "GET / HTTP/1.1" 200 77
141.98.11.52 - - [24/Oct/2023:22:20:33 +0000] "GET / HTTP/1.1" 200 77
172.104.11.4 - - [24/Oct/2023:22:25:13 +0000] "\x16\x03\x01" 400 226
84.54.51.111 - - [24/Oct/2023:23:59:54 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 196
45.33.80.243 - - [24/Oct/2023:23:59:57 +0000] "\x16\x03\x01" 400 226
46.50.200.56 - - [25/Oct/2023:00:24:43 +0000] "GET / HTTP/1.1" 200 77
46.50.200.56 - - [25/Oct/2023:00:24:43 +0000] "GET / HTTP/1.1" 200 77
46.50.200.56 - - [25/Oct/2023:00:24:43 +0000] "GET / HTTP/1.1" 200 77
193.35.18.187 - - [25/Oct/2023:00:32:58 +0000] "CONNECT google.com:443 HTTP/1.1" 405 224
172.104.11.4 - - [25/Oct/2023:00:39:50 +0000] "GET / HTTP/1.1" 200 77
5.98.198.53 - - [25/Oct/2023:00:40:45 +0000] "GET / HTTP/1.0" 200 77
198.235.24.105 - - [25/Oct/2023:01:43:39 +0000] "\x16\x03\x01" 400 226
198.235.24.105 - - [25/Oct/2023:01:43:39 +0000] "\x16\x03\x01" 400 226
89.248.163.88 - - [25/Oct/2023:01:55:54 +0000] "\x03" 400 226
162.142.125.222 - - [25/Oct/2023:02:45:53 +0000] "GET / HTTP/1.1" 200 77
162.142.125.222 - - [25/Oct/2023:02:45:53 +0000] "GET / HTTP/1.1" 200 77
162.142.125.222 - - [25/Oct/2023:02:45:53 +0000] "PRI * HTTP/2.0" 400 226
162.142.125.222 - - [25/Oct/2023:02:45:54 +0000] "GET /favicon.ico HTTP/1.1" 404 196
103.149.192.170 - - [25/Oct/2023:02:59:05 +0000] "GET / HTTP/1.1" 200 77
180.149.125.164 - - [25/Oct/2023:03:19:28 +0000] "GET /c/ HTTP/1.1" 404 196
183.136.225.32 - - [25/Oct/2023:03:26:38 +0000] "GET / HTTP/1.1" 200 77
172.105.128.13 - - [25/Oct/2023:03:29:21 +0000] "\x16\x03\x01" 400 226
4.151.117.77 - - [25/Oct/2023:04:29:56 +0000] "GET / HTTP/1.0" 200 77
4.151.117.77 - - [25/Oct/2023:04:31:32 +0000] "\x16\x03\x01\x02" 400 226
4.151.117.77 - - [25/Oct/2023:04:31:32 +0000] "GET /sdk/../../../../../../../etc/vmware/hostd/vmInventory.xml HTTP/1.1" 400 226
4.151.117.77 - - [25/Oct/2023:04:31:33 +0000] "GET /sdk/%2E%2E/%2E%2E/%2E%2E/%2E%2E/%2E%2E/%2E%2E/%2E%2E/etc/vmware/hostd/vmInventory.xml HTTP/1.1" 400 226
4.151.117.77 - - [25/Oct/2023:04:31:33 +0000] "GET /../../../../../../../../../../etc/passwd HTTP/1.1" 400 226
4.151.117.77 - - [25/Oct/2023:04:31:34 +0000] "GET /../../../../../../../../../../boot.ini HTTP/1.1" 400 226
4.151.117.77 - - [25/Oct/2023:04:31:34 +0000] "GET / HTTP/1.1" 200 77
4.151.117.77 - - [25/Oct/2023:04:31:35 +0000] "HEAD /blog/ HTTP/1.1" 404 -
4.151.117.77 - - [25/Oct/2023:04:31:35 +0000] "HEAD /weblog/ HTTP/1.1" 404 -
4.151.117.77 - - [25/Oct/2023:04:31:35 +0000] "HEAD /weblogs/ HTTP/1.1" 404 -
4.151.117.77 - - [25/Oct/2023:04:31:35 +0000] "HEAD /wordpress/ HTTP/1.1" 404 -
4.151.117.77 - - [25/Oct/2023:04:31:35 +0000] "HEAD /wiki/ HTTP/1.1" 404 -
4.151.117.77 - - [25/Oct/2023:04:31:35 +0000] "HEAD /mediawiki/ HTTP/1.1" 404 -
4.151.117.77 - - [25/Oct/2023:04:31:35 +0000] "HEAD /wiki/Main_Page HTTP/1.1" 404 -
